Small Mol HMS LINCS ID	SM Name	Alternative Names	LINCS ID	PubChem CID	Datarecord ID	HMS Dataset ID	Salt ID	ChEMBL ID	ChEBI ID	InChi	InChi Key	SMILES	Molecular Mass	Molecular Formula
HMSL10047-101	GDC-0941		LSM-1047	17755052	49	10047	101	None	None	InChI=1S/C23H27N7O3S2/c1-35(31,32)30-7-5-28(6-8-30)15-16-13-20-21(34-16)23(29-9-11-33-12-10-29)26-22(25-20)17-3-2-4-19-18(17)14-24-27-19/h2-4,13-14H,5-12,15H2,1H3,(H,24,27)	LHNIIDJUOCFXAP-UHFFFAOYSA-N	O=S(N1CCN(CC2=CC3=NC(C4=CC=CC5=C4C=NN5)=NC(N6CCOCC6)=C3S2)CC1)(C)=O	513.16	C23H27N7O3S2
HMSL10048-101	PD184352	CI-1040	LSM-1048	6918454	50	10048	101	None	None	InChI=1S/C17H14ClF2IN2O2/c18-12-7-10(21)3-6-14(12)22-16-11(4-5-13(19)15(16)20)17(24)23-25-8-9-1-2-9/h3-7,9,22H,1-2,8H2,(H,23,24)	GFMMXOIFOQCCGU-UHFFFAOYSA-N	O=C(NOCC1CC1)C2=CC=C(F)C(F)=C2NC3=CC=C(I)C=C3Cl	477.98	C17H14ClF2IN2O2
HMSL10049-101	PLX-4720		LSM-1049	24180719	51	10049	101	None	None	InChI=1S/C17H14ClF2N3O3S/c1-2-5-27(25,26)23-13-4-3-12(19)14(15(13)20)16(24)11-8-22-17-10(11)6-9(18)7-21-17/h3-4,6-8,23H,2,5H2,1H3,(H,21,22)	YZDJQTHVDDOVHR-UHFFFAOYSA-N	ClC1=CN=C(NC=C2C(C3=C(F)C(NS(CCC)(=O)=O)=CC=C3F)=O)C2=C1	413.04	C17H14ClF2N3O3S
HMSL10050-101	AZ-628		LSM-1050	11676786	52	10050	101	None	None	InChI=1S/C27H25N5O2/c1-17-8-9-21(31-25(33)18-6-5-7-19(12-18)27(2,3)15-28)14-24(17)30-20-10-11-23-22(13-20)26(34)32(4)16-29-23/h5-14,16,30H,1-4H3,(H,31,33)	ZGBGPEDJXCYQPH-UHFFFAOYSA-N	O=C(N(C)C=N1)C2=C1C=CC(NC3=C(C)C=CC(NC(C4=CC(C(C)(C)C#N)=CC=C4)=O)=C3)=C2	451.20	C27H25N5O2
HMSL10051-104	GW-572016	Lapatinib;Tykerb	LSM-1051	208908	53	10051	104	554	None	InChI=1S/C29H26ClFN4O4S.2C7H8O3S/c1-40(36,37)12-11-32-16-23-7-10-27(39-23)20-5-8-26-24(14-20)29(34-18-33-26)35-22-6-9-28(25(30)15-22)38-17-19-3-2-4-21(31)13-19;2*1-6-2-4-7(5-3-6)11(8,9)10/h2-10,13-15,18,32H,11-12,16-17H2,1H3,(H,33,34,35);2*2-5H,1H3,(H,8,9,10)	UWYXLGUQQFPJRI-UHFFFAOYSA-N	CS(=O)(CCNCC1=CC=C(O1)C2=CC3=C(C=C2)N=CN=C3NC4=CC(Cl)=C(C=C4)OCC5=CC(F)=CC=C5)=O.CC6=CC=C(S(=O)(O)=O)C=C6.CC7=CC=C(S(=O)(O)=O)C=C7	924.17	C43H42ClFN4O10S3
HMSL10052-101	Rapamycin	Sirolimus	LSM-1052	5040	54	10052	101	413	None	InChI=1S/C51H79NO13/c1-30-16-12-11-13-17-31(2)42(61-8)28-38-21-19-36(7)51(60,65-38)48(57)49(58)52-23-15-14-18-39(52)50(59)64-43(33(4)26-37-20-22-40(53)44(27-37)62-9)29-41(54)32(3)25-35(6)46(56)47(63-10)45(55)34(5)24-30/h11-13,16-17,25,30,32-34,36-40,42-44,46-47,53,56,60H,14-15,18-24,26-29H2,1-10H3	QFJCIRLUMZQUOT-UHFFFAOYSA-N	CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC	913.56	C51H79NO13
HMSL10053-101	ZSTK474		LSM-1053	11647372	55	10053	101	None	None	InChI=1S/C19H21F2N7O2/c20-15(21)16-22-13-3-1-2-4-14(13)28(16)19-24-17(26-5-9-29-10-6-26)23-18(25-19)27-7-11-30-12-8-27/h1-4,15H,5-12H2	HGVNLRPZOWWDKD-UHFFFAOYSA-N	FC(F)C1=NC2=C(C=CC=C2)N1C3=NC(N4CCOCC4)=NC(N5CCOCC5)=N3	417.17	C19H21F2N7O2
HMSL10054-101	AS605240		LSM-1054	24906273	56	10054	101	None	None	InChI=1S/C12H7N3O2S/c16-11-10(18-12(17)15-11)6-7-1-2-8-9(5-7)14-4-3-13-8/h1-6H,(H,15,16,17)/b10-6+	SQWZFLMPDUSYGV-UXBLZVDNSA-N	[H]/C(C1=CC2=NC=CN=C2C=C1)=C3C(NC(S/3)=O)=O	257.03	C12H7N3O2S
HMSL10055-101	BX-912		LSM-1055	11754511	57	10055	101	None	None	InChI=1S/C20H23BrN8O/c21-17-12-24-19(28-18(17)23-7-6-16-11-22-13-25-16)26-14-4-3-5-15(10-14)27-20(30)29-8-1-2-9-29/h3-5,10-13H,1-2,6-9H2,(H,22,25)(H,27,30)(H2,23,24,26,28)	DMMILYKXNCVKOJ-UHFFFAOYSA-N	BrC1=C(NCCC2=CNC=N2)N=C(NC3=CC(NC(N4CCCC4)=O)=CC=C3)N=C1	470.12	C20H23BrN8O
HMSL10056-101	AZD6244	Selumetinib;Array142886	LSM-1056	10127622	58	10056	101	None	None	InChI=1S/C17H15BrClFN4O3/c1-24-8-21-16-13(24)7-10(17(26)23-27-5-4-25)15(14(16)20)22-12-3-2-9(18)6-11(12)19/h2-3,6-8,22,25H,4-5H2,1H3,(H,23,26)	CYOHGALHFOKKQC-UHFFFAOYSA-N	O=C(NOCCO)C1=C(NC2=CC=C(Br)C=C2Cl)C(F)=C3C(N(C)C=N3)=C1	456.00	C17H15BrClFN4O3
HMSL10057-102	MK2206		LSM-1057	24964624	59	10057	102	None	None	InChI=1S/C25H21N5O.2ClH/c26-25(12-4-13-25)18-9-7-17(8-10-18)22-19(16-5-2-1-3-6-16)15-20-21(27-22)11-14-30-23(20)28-29-24(30)31;;/h1-3,5-11,14-15H,4,12-13,26H2,(H,29,31);2*1H	HWUHTJIKQZZBRA-UHFFFAOYSA-N	O=C1N(C=CC2=C3C=C(C(C4=CC=C(C=C4)C5(CCC5)N)=N2)C6=CC=CC=C6)C3=NN1.Cl.Cl	479.13	C25H23Cl2N5O
HMSL10058-101	CG-930	JNK930	LSM-1058	57394468	60	10058	101	None	None	InChI=1S/C21H23F3N6O2/c22-11-7-15(23)18(16(24)8-11)28-21-27-17-9-25-20(26-12-1-3-14(31)4-2-12)29-19(17)30(21)13-5-6-32-10-13/h7-9,12-14,31H,1-6,10H2,(H,27,28)(H,25,26,29)/t12-,13-,14+/m1/s1	IBGLGMOPHJQDJB-MCIONIFRSA-N	FC1=CC(F)=CC(F)=C1NC2=NC3=CN=C(N[C@H]4CC[C@@H](O)CC4)N=C3N2[C@H]5COCC5	448.18	C21H23F3N6O2
HMSL10059-101	AZD-6482	KIN001-193	LSM-1059	44137675	61	10059	101	None	None	InChI=1S/C22H24N4O4/c1-14-11-17(15(2)23-18-6-4-3-5-16(18)22(28)29)21-24-19(12-20(27)26(21)13-14)25-7-9-30-10-8-25/h3-6,11-13,15,23H,7-10H2,1-2H3,(H,28,29)/t15-/m1/s1	IRTDIKMSKMREGO-OAHLLOKOSA-N	CC(C=C2[C@@H](C)NC3=C(C(O)=O)C=CC=C3)=CN1C2=NC(N4CCOCC4)=CC1=O	408.18	C22H24N4O4
HMSL10060-101	TAK-715		LSM-1060	9952773	62	10060	101	None	None	InChI=1S/C24H21N3OS/c1-3-21-27-22(18-11-7-8-16(2)14-18)23(29-21)19-12-13-25-20(15-19)26-24(28)17-9-5-4-6-10-17/h4-15H,3H2,1-2H3,(H,25,26,28)	HEKAIDKUDLCBRU-UHFFFAOYSA-N	O=C(C1=CC=CC=C1)NC2=CC(C3=C(C4=CC(C)=CC=C4)N=C(CC)S3)=CC=N2	399.14	C24H21N3OS
HMSL10061-101	NU7441	KU 57788	LSM-1061	11327430	63	10061	101	188678	None	InChI=1S/C25H19NO3S/c27-21-15-23(26-11-13-28-14-12-26)29-24-17(6-3-9-20(21)24)19-8-4-7-18-16-5-1-2-10-22(16)30-25(18)19/h1-10,15H,11-14H2	JAMULYFATHSZJM-UHFFFAOYSA-N	O=C1C=C(N2CCOCC2)OC3=C1C=CC=C3C4=C5C(C6=CC=CC=C6S5)=CC=C4	413.11	C25H19NO3S
HMSL10062-101	GSK1070916	KIN001-216	LSM-1062	46885626	64	10062	101	1090479	None	InChI=1S/C30H33N7O/c1-6-37-19-26(28(34-37)21-10-12-23(13-11-21)32-30(38)36(4)5)24-14-15-31-29-25(24)17-27(33-29)22-9-7-8-20(16-22)18-35(2)3/h7-17,19H,6,18H2,1-5H3,(H,31,33)(H,32,38)	QTBWCSQGBMPECM-UHFFFAOYSA-N	CCN1C=C(C2=C3C=C(C4=CC=CC(CN(C)C)=C4)NC3=NC=C2)C(C5=CC=C(C=C5)NC(N(C)C)=O)=N1	507.27	C30H33N7O
HMSL10063-101	OSI-027		LSM-1063	None	66	10063	101	None	None	InChI=1S/C21H22N6O3/c1-30-15-4-2-3-13-9-14(25-16(13)15)17-18-19(22)23-10-24-27(18)20(26-17)11-5-7-12(8-6-11)21(28)29/h2-4,9-12,25H,5-8H2,1H3,(H,28,29)(H2,22,23,24)/t11-,12+	JROFGZPOBKIAEW-TXEJJXNPSA-N	COC1=CC=CC2=C1NC(C3=C4C(N)=NC=NN4[C@]([C@H]5CC[C@@H]([C@](O)=O)CC5)=N3)=C2	406.18	C21H22N6O3
HMSL10063-102	OSI-027		LSM-1063	56965966	65	10063	102	None	None	InChI=1S/C21H22N6O3.ClH/c1-30-15-4-2-3-13-9-14(25-16(13)15)17-18-19(22)23-10-24-27(18)20(26-17)11-5-7-12(8-6-11)21(28)29;/h2-4,9-12,25H,5-8H2,1H3,(H,28,29)(H2,22,23,24);1H/t11-,12+;	NVPWJMHJZINDTG-IWKKHLOMSA-N	COC1=CC=CC2=C1NC(C3=C4C(N)=NC=NN4[C@]([C@H]5CC[C@@H]([C@](O)=O)CC5)=N3)=C2.Cl	442.15	C21H23ClN6O3
HMSL10064-101	WYE-125132		LSM-1064	25260757	67	10064	101	None	None	InChI=1S/C27H33N7O4/c1-28-26(35)30-18-4-2-17(3-5-18)23-31-24(33-15-20-6-7-21(16-33)38-20)22-14-29-34(25(22)32-23)19-8-10-27(11-9-19)36-12-13-37-27/h2-5,14,19-21H,6-13,15-16H2,1H3,(H2,28,30,35)	QLHHRYZMBGPBJG-UHFFFAOYSA-N	O=C(NC7=CC=C(C=C7)C1=NC(N3CC2OC(C3)CC2)=C6C(N(N=C6)C4CCC5(OCCO5)CC4)=N1)NC	519.26	C27H33N7O4
HMSL10065-101	KIN001-220	Genentech 10	LSM-1065	44139710	68	10065	101	None	None	InChI=1S/C31H31ClFN7O2/c1-2-39-15-17-40(18-16-39)28(41)19-21-7-11-24(12-8-21)36-31-34-20-26(33)29(38-31)35-23-13-9-22(10-14-23)30(42)37-27-6-4-3-5-25(27)32/h3-14,20H,2,15-19H2,1H3,(H,37,42)(H2,34,35,36,38)	AKSIZPIFQAYJGF-UHFFFAOYSA-N	O=C(NC1=CC=CC=C1Cl)C2=CC=C(NC3=NC(NC4=CC=C(CC(N5CCN(CC)CC5)=O)C=C4)=NC=C3F)C=C2	587.22	C31H31ClFN7O2
HMSL10066-101	MLN8054		LSM-1066	11712649	69	10066	101	259084	None	InChI=1S/C25H15ClF2N4O2/c26-15-6-9-17-18(10-15)23(21-19(27)2-1-3-20(21)28)29-11-14-12-30-25(32-22(14)17)31-16-7-4-13(5-8-16)24(33)34/h1-10,12H,11H2,(H,33,34)(H,30,31,32)	HHFBDROWDBDFBR-UHFFFAOYSA-N	O=C(O)C1=CC=C(NC2=NC=C3CN=C(C4=C(F)C=CC=C4F)C5=CC(Cl)=CC=C5C3=N2)C=C1	476.09	C25H15ClF2N4O2
HMSL10067-101	AZD1152-HQPA	Barasertib	LSM-1067	16007391	70	10067	101	215152	None	InChI=1S/C26H30FN7O3/c1-2-34(10-11-35)9-4-12-37-21-7-8-22-23(16-21)28-17-29-26(22)31-24-14-20(32-33-24)15-25(36)30-19-6-3-5-18(27)13-19/h3,5-8,13-14,16-17,35H,2,4,9-12,15H2,1H3,(H,30,36)(H2,28,29,31,32,33)	QYZOGCMHVIGURT-UHFFFAOYSA-N	O=C(NC1=CC=CC(F)=C1)CC2=NNC(NC3=C4C=CC(OCCCN(CC)CCO)=CC4=NC=N3)=C2	507.24	C26H30FN7O3
HMSL10068-101	PLX4032	RG7204;R7204;RO5185426	LSM-1068	42611257	71	10068	101	None	None	InChI=1S/C23H18ClF2N3O3S/c1-2-9-33(31,32)29-19-8-7-18(25)20(21(19)26)22(30)17-12-28-23-16(17)10-14(11-27-23)13-3-5-15(24)6-4-13/h3-8,10-12,29H,2,9H2,1H3,(H,27,28)	GPXBXXGIAQBQNI-UHFFFAOYSA-N	ClC(C=C3)=CC=C3C1=CN=C(NC=C2C(C4=C(F)C(NS(CCC)(=O)=O)=CC=C4F)=O)C2=C1	489.07	C23H18ClF2N3O3S
HMSL10069-101	LY317615	Enzastaurin	LSM-1069	176167	72	10069	101	None	None	InChI=1S/C32H29N5O2/c1-35-19-25(23-9-2-4-11-27(23)35)29-30(32(39)34-31(29)38)26-20-37(28-12-5-3-10-24(26)28)22-13-16-36(17-14-22)18-21-8-6-7-15-33-21/h2-12,15,19-20,22H,13-14,16-18H2,1H3,(H,34,38,39)	AXRCEOKUDYDWLF-UHFFFAOYSA-N	CN1C7=C(C=CC=C7)C(C6=C(C(NC6=O)=O)C3=CN(C4CCN(CC5=NC=CC=C5)CC4)C2=CC=CC=C23)=C1	515.23	C32H29N5O2
HMSL10070-101	NPK76-II-72-1		LSM-1070	46843648	73	10070	101	None	None	InChI=1S/C28H39N7O3/c1-18-15-25(36)34(3)23-17-29-28(32-26(23)35(18)21-7-5-6-8-21)31-22-10-9-19(16-24(22)38-4)27(37)30-20-11-13-33(2)14-12-20/h9-10,16-18,20-21H,5-8,11-15H2,1-4H3,(H,30,37)(H,29,31,32)	KZLQLABUFJNPSZ-UHFFFAOYSA-N	CN1C2=CN=C(N=C2N(C(CC1=O)C)C3CCCC3)NC4=C(C=C(C=C4)C(NC5CCN(CC5)C)=O)OC	521.31	C28H39N7O3
HMSL10071-101	PD0332991		LSM-1071	5330286	74	10071	101	189963	None	InChI=1S/C24H29N7O2/c1-15-19-14-27-24(28-20-8-7-18(13-26-20)30-11-9-25-10-12-30)29-22(19)31(17-5-3-4-6-17)23(33)21(15)16(2)32/h7-8,13-14,17,25H,3-6,9-12H2,1-2H3,(H,26,27,28,29)	AHJRHEGDXFFMBM-UHFFFAOYSA-N	O=C1C(C(C)=O)=C(C)C2=CN=C(NC3=NC=C(N4CCNCC4)C=C3)N=C2N1C5CCCC5	447.24	C24H29N7O2
HMSL10072-101	PF562271	KIN001-205	LSM-1072	11713159	75	10072	101	None	None	InChI=1S/C21H20F3N7O3S/c1-31(35(2,33)34)19-12(4-3-7-25-19)10-26-18-15(21(22,23)24)11-27-20(30-18)28-14-5-6-16-13(8-14)9-17(32)29-16/h3-8,11H,9-10H2,1-2H3,(H,29,32)(H2,26,27,28,30)	MZDKLVOWGIOKTN-UHFFFAOYSA-N	O=C(N1)CC2=C1C=CC(NC3=NC=C(C(F)(F)F)C(NCC4=CC=CN=C4N(S(=O)(C)=O)C)=N3)=C2	507.13	C21H20F3N7O3S
HMSL10073-101	PHA-793887		LSM-1073	46191454	76	10073	101	None	None	InChI=1S/C19H31N5O2/c1-12(2)10-15(25)20-17-14-11-24(19(3,4)16(14)21-22-17)18(26)13-6-8-23(5)9-7-13/h12-13H,6-11H2,1-5H3,(H2,20,21,22,25)	HUXYBQXJVXOMKX-UHFFFAOYSA-N	CC(C)CC(NC1=NNC2=C1CN(C(C3CCN(C)CC3)=O)C2(C)C)=O	361.25	C19H31N5O2
HMSL10074-101	KU55933		LSM-1074	5278396	77	10074	101	None	None	InChI=1S/C21H17NO3S2/c23-14-12-16(25-20(13-14)22-8-10-24-11-9-22)15-4-3-7-19-21(15)27-18-6-2-1-5-17(18)26-19/h1-7,12-13H,8-11H2	XRKYMMUGXMWDAO-UHFFFAOYSA-N	O=C(C=C(N1CCOCC1)O2)C=C2C3=CC=CC(S4)=C3SC5=C4C=CC=C5	395.06	C21H17NO3S2
HMSL10075-101	QL-X-138		LSM-1075	None	78	10075	101	None	None	InChI=1S/C25H19N5O2/c1-3-23(31)29-22-11-19(7-4-15(22)2)30-24(32)9-6-17-12-26-21-8-5-16(10-20(21)25(17)30)18-13-27-28-14-18/h3-14H,1H2,2H3,(H,27,28)(H,29,31)	JMVDIGHUQAXWIE-UHFFFAOYSA-N	O=C(N1C2=CC(NC(C=C)=O)=C(C)C=C2)C=CC3=C1C4=CC(C5=CNN=C5)=CC=C4N=C3	421.15	C25H19N5O2
HMSL10076-101	QL-XI-92		LSM-1076	None	79	10076	101	None	None	InChI=1S/C22H17F3N4O4/c1-3-19(30)27-15-9-14(22(23,24)25)10-16(11-15)28-20(31)13-5-4-12(2)17(8-13)29-21(32)18-6-7-26-33-18/h3-11H,1H2,2H3,(H,27,30)(H,28,31)(H,29,32)	UASQUKUDXJFTCO-UHFFFAOYSA-N	O=C(C1=CC(NC(C2=CC=NO2)=O)=C(C)C=C1)NC3=CC(NC(C=C)=O)=CC(C(F)(F)F)=C3	458.12	C22H17F3N4O4
HMSL10077-101	QL-XII-47		LSM-1077	None	80	10077	101	None	None	InChI=1S/C27H21N5O2/c1-3-25(33)31-11-10-17-4-7-21(13-24(17)31)32-26(34)9-6-19-14-28-23-8-5-18(12-22(23)27(19)32)20-15-29-30(2)16-20/h3-9,12-16H,1,10-11H2,2H3	RTRNJQOBEOISFQ-UHFFFAOYSA-N	O=C(N3C4=CC(N(C(C=C)=O)CC6)=C6C=C4)C=CC2=C3C1=CC(C5=CN(C)N=C5)=CC=C1N=C2	447.17	C27H21N5O2
HMSL10078-101	THZ-2-98-01		LSM-1078	None	81	10078	101	None	None	InChI=1S/C28H27N7O2/c1-35(2)16-6-12-26(36)31-22-9-3-7-20(17-22)27(37)32-23-10-4-11-24(18-23)33-28-30-15-13-25(34-28)21-8-5-14-29-19-21/h3-15,17-19H,16H2,1-2H3,(H,31,36)(H,32,37)(H,30,33,34)/b12-6+	YYVIVPUDXXGAKS-WUXMJOGZSA-N	O=C(NC2=CC=CC(NC3=NC(C4=CC=CN=C4)=CC=N3)=C2)C1=CC(NC(/C=C/CN(C)C)=O)=CC=C1	493.22	C28H27N7O2
HMSL10079-101	Torin1		LSM-1079	49836027	82	10079	101	None	None	InChI=1S/C35H28F3N5O2/c1-2-32(44)42-15-13-41(14-16-42)31-11-9-26(19-28(31)35(36,37)38)43-33(45)12-8-24-20-40-30-10-7-22(18-27(30)34(24)43)25-17-23-5-3-4-6-29(23)39-21-25/h3-12,17-21H,2,13-16H2,1H3	AKCRNFFTGXBONI-UHFFFAOYSA-N	O=C1N(C2=CC(C(F)(F)F)=C(N3CCN(C(CC)=O)CC3)C=C2)C4=C(C=C1)C=NC5=CC=C(C6=CN=C(C=CC=C7)C7=C6)C=C54	607.22	C35H28F3N5O2
HMSL10080-101	Torin2		LSM-1080	51358113	83	10080	101	None	None	InChI=1S/C24H15F3N4O/c25-24(26,27)17-2-1-3-18(11-17)31-22(32)9-6-16-13-29-20-7-4-14(10-19(20)23(16)31)15-5-8-21(28)30-12-15/h1-13H,(H2,28,30)	GUXXEUUYCAYESJ-UHFFFAOYSA-N	O=C(N3C4=CC(C(F)(F)F)=CC=C4)C=CC2=C3C1=CC(C5=CN=C(N)C=C5)=CC=C1N=C2	432.12	C24H15F3N4O
HMSL10081-101	KIN001-244		LSM-1081	49766501	84	10081	101	None	None	InChI=1S/C28H22F2N4O4/c29-21-10-8-17(13-22(21)30)15-34-12-4-7-20(27(34)36)26(35)31-25(18-5-2-1-3-6-18)16-38-19-9-11-23-24(14-19)33-28(37)32-23/h1-14,25H,15-16H2,(H,31,35)(H2,32,33,37)/t25-/m0/s1	GCWCGSPBENFEPE-VWLOTQADSA-N	O=C(N1)NC2=C1C=CC(OC[C@H](NC(C3=CC=CN(CC4=CC=C(F)C(F)=C4)C3=O)=O)C5=CC=CC=C5)=C2	516.16	C28H22F2N4O4
HMSL10082-101	WZ-4-145		LSM-1082	None	85	10082	101	None	None	InChI=1S/C34H36Cl2N8O4/c1-5-30(45)40-24-8-6-22(7-9-24)20-44(34(46)41-33-31(35)26(47-3)18-27(48-4)32(33)36)29-19-28(37-21-38-29)39-23-10-12-25(13-11-23)43-16-14-42(2)15-17-43/h5-13,18-19,21H,1,14-17,20H2,2-4H3,(H,40,45)(H,41,46)(H,37,38,39)	SFLKJNSBBVSPFE-UHFFFAOYSA-N	O=C(NC1=C(Cl)C(OC)=CC(OC)=C1Cl)N(CC2=CC=C(NC(C=C)=O)C=C2)C3=CC(NC4=CC=C(N5CCN(C)CC5)C=C4)=NC=N3	690.22	C34H36Cl2N8O4
HMSL10083-101	WZ-7043		LSM-1083	None	86	10083	101	None	None	InChI=1S/C23H32Cl2N6O3/c1-6-30(7-2)11-9-8-10-26-22-27-13-15-14-31(23(32)29(3)21(15)28-22)20-18(24)16(33-4)12-17(34-5)19(20)25/h12-13H,6-11,14H2,1-5H3,(H,26,27,28)	NHOUHWHGHAFDOP-UHFFFAOYSA-N	CN1C2=NC(NCCCCN(CC)CC)=NC=C2CN(C3=C(Cl)C(OC)=CC(OC)=C3Cl)C1=O	510.19	C23H32Cl2N6O3
HMSL10084-101	WZ3105		LSM-1084	None	87	10084	101	None	None	InChI=1S/C25H34N8O/c1-6-21(34)27-18-8-7-9-19(14-18)28-23-22-24(33(15-26-22)16(2)3)31-25(30-23)29-17-10-12-20(13-11-17)32(4)5/h6-9,14-17,20H,1,10-13H2,2-5H3,(H,27,34)(H2,28,29,30,31)/t17-,20-	DGEBYERMQBTMHV-IRJFHVNHSA-N	CC(C)N1C2=NC(N[C@@H]3CC[C@@H](N(C)C)CC3)=NC(NC4=CC=CC(NC(C=C)=O)=C4)=C2N=C1	462.29	C25H34N8O
HMSL10085-101	WZ4002		LSM-1085	44607530	88	10085	101	None	None	InChI=1S/C25H27ClN6O3/c1-4-23(33)28-17-6-5-7-19(14-17)35-24-20(26)16-27-25(30-24)29-21-9-8-18(15-22(21)34-3)32-12-10-31(2)11-13-32/h4-9,14-16H,1,10-13H2,2-3H3,(H,28,33)(H,27,29,30)	ITTRLTNMFYIYPA-UHFFFAOYSA-N	ClC1=C(OC4=CC(NC(C=C)=O)=CC=C4)N=C(NC2=CC=C(N3CCN(C)CC3)C=C2OC)N=C1	494.18	C25H27ClN6O3
HMSL10086-101	XMD11-50	LRRK2-in-1	LSM-1086	46843906	89	10086	101	None	None	InChI=1S/C31H38N8O3/c1-35-15-17-38(18-16-35)22-11-13-39(14-12-22)29(40)21-9-10-24(27(19-21)42-4)33-31-32-20-26-28(34-31)36(2)25-8-6-5-7-23(25)30(41)37(26)3/h5-10,19-20,22H,11-18H2,1-4H3,(H,32,33,34)	IWMCPJZTADUIFX-UHFFFAOYSA-N	O=C1C2=C(C=CC=C2)N(C)C3=NC(NC4=C(OC)C=C(C(N5CCC(N6CCN(C)CC6)CC5)=O)C=C4)=NC=C3N1C	570.31	C31H38N8O3
HMSL10087-101	XMD11-85h		LSM-1087	None	90	10087	101	None	None	InChI=1S/C29H41N7O3/c1-19(2)36-24-18-30-29(33-27(24)35(16-13-26(36)37)22-7-5-6-8-22)32-23-10-9-20(17-25(23)39-4)28(38)31-21-11-14-34(3)15-12-21/h9-10,17-19,21-22H,5-8,11-16H2,1-4H3,(H,31,38)(H,30,32,33)	VIJIVCXRKDRGGA-UHFFFAOYSA-N	O=C1CCN(C2CCCC2)C3=NC(NC4=CC=C(C(NC5CCN(C)CC5)=O)C=C4OC)=NC=C3N1C(C)C	535.33	C29H41N7O3
HMSL10088-101	XMD13-2		LSM-1088	None	91	10088	101	None	None	InChI=1S/C21H20N4O2/c26-20(12-4-5-12)23-19-17-9-6-14(11-18(17)24-25-19)13-2-1-3-15(10-13)21(27)22-16-7-8-16/h1-3,6,9-12,16H,4-5,7-8H2,(H,22,27)(H2,23,24,25,26)	WBLZCNIEEVRRTG-UHFFFAOYSA-N	O=C(C1CC1)NC2=NNC3=CC(C4=CC(C(NC5CC5)=O)=CC=C4)=CC=C32	360.16	C21H20N4O2
HMSL10089-101	XMD14-99		LSM-1089	None	92	10089	101	None	None	InChI=1S/C22H23Cl2N5O2S/c1-28-8-10-29(11-9-28)13-6-7-16(17(12-13)31-2)26-22-27-21(25)20(32-22)19(30)18-14(23)4-3-5-15(18)24/h3-7,12H,8-11,25H2,1-2H3,(H,26,27)	UISRWLSAXIOCND-UHFFFAOYSA-N	NC1=C(C(C2=C(Cl)C=CC=C2Cl)=O)SC(NC3=C(OC)C=C(N4CCN(C)CC4)C=C3)=N1	491.09	C22H23Cl2N5O2S
HMSL10090-101	XMD15-27		LSM-1090	None	93	10090	101	None	None	InChI=1S/C25H28N6O3S/c1-4-21(32)27-17-7-5-16(6-8-17)22(33)23-24(26)29-25(35-23)28-19-10-9-18(15-20(19)34-3)31-13-11-30(2)12-14-31/h4-10,15H,1,11-14,26H2,2-3H3,(H,27,32)(H,28,29)	VYWMWKFIDRIEPP-UHFFFAOYSA-N	NC1=C(C(C2=CC=C(NC(C=C)=O)C=C2)=O)SC(NC3=C(OC)C=C(N4CCN(C)CC4)C=C3)=N1	492.19	C25H28N6O3S
HMSL10091-101	XMD16-144		LSM-1091	None	94	10091	101	None	None	InChI=1S/C25H27N7O2/c1-30(2)14-8-13-22(33)27-17-9-7-10-18(15-17)28-25-26-16-21-23(29-25)31(3)20-12-6-5-11-19(20)24(34)32(21)4/h5-13,15-16H,14H2,1-4H3,(H,27,33)(H,26,28,29)/b13-8+	XGICKGXGLUYWDW-MDWZMJQESA-N	O=C1C2=C(C=CC=C2)N(C)C3=NC(NC4=CC(NC(/C=C/CN(C)C)=O)=CC=C4)=NC=C3N1C	457.22	C25H27N7O2
HMSL10092-101	JWE-035		LSM-1092	57340671	95	10092	101	None	None	InChI=1S/C27H30F3N7O/c1-4-36-11-13-37(14-12-36)17-18-9-10-19(15-21(18)27(28,29)30)32-26-31-16-23-24(33-26)34(2)22-8-6-5-7-20(22)25(38)35(23)3/h5-10,15-16H,4,11-14,17H2,1-3H3,(H,31,32,33)	PXGLIUGVLBRUBV-UHFFFAOYSA-N	O=C1N(C)C2=C(N=C(NC(C=C3)=CC(C(F)(F)F)=C3CN4CCN(CC)CC4)N=C2)N(C)C5=CC=CC=C51	525.25	C27H30F3N7O
HMSL10093-101	XMD8-85		LSM-1093	46844147	96	10093	101	None	None	InChI=1S/C25H29N7O2/c1-29-11-13-32(14-12-29)17-9-10-19(22(15-17)34-4)27-25-26-16-21-23(28-25)30(2)20-8-6-5-7-18(20)24(33)31(21)3/h5-10,15-16H,11-14H2,1-4H3,(H,26,27,28)	DDTPGANIPBKTNU-UHFFFAOYSA-N	O=C1N(C)C2=C(N=C(NC3=C(OC)C=C(N4CCN(C)CC4)C=C3)N=C2)N(C)C5=CC=CC=C51	459.24	C25H29N7O2
